name,description
Women Partnering in Business East Bay,"<p>Please join us as we collaborate and create dynamic business partnerships between professional women in the San Francisco East Bay region. Our goal is to form business partnerships by sharing and supporting other women business owners and professionals in our community. Our group is not category specific, nor are there monthly attendance requirements. However, we do ask that you come to our events not only to expand your own business but also to help grow the businesses of the other attendees. We will alternate between lunch events and evening happy hours. &nbsp;At the lunches, there will be time for networking and everyone will have a short time to introduce yourself and your business. The evening events are an informal time to get to know each other and our businesses in a less structured format. Please bring business cards, flyers or any other promotional materials you wish to either event.</p>"
Davis Women seeking new women friends,"<p>I started this in 2015 because my last two friends living in California and Davis&nbsp;moved out of town, and I found myself&nbsp;looking for friends not just to do things with, but also to sometimes have serious conversations about topics of import to our country, our world, our families and to our inner selves.&nbsp; </p>
<p>This group is not about specific activities, but about activities as a way to interact with other women.&nbsp; Sometimes this leads to personal friendships outside the group, and sometimes it's just about a get-together with other women.&nbsp; But EVERY meeting so far has been a GREAT TIME.&nbsp;&nbsp; We do have lots of brainiacs, but we have plenty of regular people to keep us balanced.&nbsp; There is a strong contingent of younger women, a good number of women with children in school and number of us are empty nesters.&nbsp; </p>
<p>This should go without saying, but intolerance and back-biting is absolutely unacceptable.&nbsp; If you don't like someone, keep it to yourself.&nbsp; If you don't like an entire group of people, such as Jews or African Americans, then this isn't the right place for you.&nbsp; You don't have to be a Liberal, but you do have to be willing to take each woman as an individual, and not judge her based on her race, religion, etc.&nbsp; </p>
<p>This is group is strictly for women who live in Davis, or who work a regular Davis job with a Davis address.&nbsp; (If you live elsewhere, why not start a group yourself?&nbsp; It's easy!)</p>
<p>All new members are asked to come to a get together within their first three months, plan a get together within their first three months, or contribute toward the cost of maintaining the group, which I personally pay for out of my (very lean) pocket.</p>
<p>We all look forward to meeting you soon!</p>
<p>Best wishes,</p>
<p>Alex</p>
<p> <br></p>
<p> <br></p>"
Successful Women of Central Valley Networking Mixers,"<p>We are a group of local women dedicated to empowering, inspiring, networking, supporting and assisting women in the Central Valley. We believe in and support the ""Whole Woman"" recognizing that there are many facets of our lives and many levels to connect with other women in our community. Our desire is to create a welcoming environment where we can all realize our goals personally, professionally, and socially in our community.</p>
<p><a href=""http://www.SWCV.org"">www.SWCV.org</a> </p>"
Women's Empowerment Movement Meetup,"This is a group dedicated to inspiring and leading women to live in their life purposes, be grounded in their self-worth, and join in raising the consciousness of the planet. Meetings will include inspirational talks, networking, social gathering, support, and all out fun."
"Business Women's Community, Campbell (AKA Savvy Sassy Women)","<p> <br></p>
<p><br></p>
<p><span>Business Women's Community, Campbell (AKA Savvy Sassy Women) is here to&nbsp;encourage business women to get to know each other on a higher level to create a strong foundation for networking, referral business and professional development in efforts to support each other at the same time!!!&nbsp;</span></p>
<p>Let's make some connections, improve our business, make new friends and most of all HAVE FUN!!!!!</p>
<br>"
Thriving Women in Business Group,"<p>This group is for you if you are a positive, ambitious woman entrepreneur who wants to use your business as a way to serve others and you want to massively monetize your mastery in the process. If you know the power of a community of like-minded women, if you run your business with integrity, generosity and a desire to support other women in business, if you believe there is plenty of business for everyone, then this group is for you. This group is hosted by Caterina Rando, founder of the Thriving Women in Business Community. She hosts over 90 days or events and trainings for women in business each year and is a sought-after-speaker and well-regarded mentor to women entrepreneurs who want to catapult their businesses while uplifting others. To find out more about Caterina visit www.caterinarando.com and get your free subscription to Thriving Women in Business Magazine at www.twibc.com.</p>"
Women & Wine in the Valley Meetup,"<p>A community of women supporting other professionals, business owners and entrepreneurs. We meet once a month at different (or the same) wine bars, also looking to improve our knowledge of wines....look forward to starting a tradition in wine country!</p>"
Overwhelmed No More Women's Entrepreneur Club,"<p><span>Overwhelmed <i>No More</i> Women's Entrepreneur Club is an empowering community and sisterhood for women entrepreneurs, wearing many hats, juggling work, life, motherhood, business, relationships, and a never ending To Do List that keeps them up at night.&nbsp;</span> <br></p>
<p>Join us for our Womenpreneur Networking Socials and Workshops where you will learn tools to get out of overwhelm, connect with like-minded women to network, make new friends, and connections for your business. You're welcome to promote your business with a raffle prize! <br></p>
<p>We start the Meetup with a dose of inspiration with original women's poetry from the book, Overwhelmed <i>No More! </i>Love Yourself to Wealth <a href=""http://alturl.com/magpd"">http://alturl.com/magpd</a>, creating a safe environment of support to grow ourselves and our businesses. <br></p>
<p>After each poetry reading, open networking and connecting is available for women interested in getting to know each other better. <br></p>
<p>It's always a FUN time and women get a lot from attending our events. Join us if you'd like to get out of overwhelm and you're looking for a dynamic women's group to grow yourself and your business. We're here to support you! =)</p>
<p>For more info., visit <a href=""http://www.Janna-Chin.com"">www.Janna-Chin.com</a>.</p>"
Girls in Tech,"<p>Girls in Tech is a social network enterprise focused on the engagement, education and empowerment of like-minded, professional, intelligent and influential women in technology. As young women with the capacity to inspire, we made it our personal desire and passion to create and sustain an organization that focuses on the collaboration, promotion, growth and success of women in the technology sector.</p>"
SF Enterprise Sales Forum,"<p>The SF Enterprise Sales Forum is a community for B2B sales professionals involved in complex sales cycles. &nbsp;We provide an open and collaborative environment where you can share ideas, network with peers, and learn actionable insights for sales excellence and professionalism from successful sales practitioners and leaders. &nbsp;We do this through monthly sales talks that provide an opportunity for professional development and a platform for advancing modern sales techniques.</p>
<p>To find out more about us and when we are hosting future events as well as learn about our global chapters, please follow us at <a href=""http://enterprisesalesforum.com/"" class=""linkified"">http://enterprisesalesforum.com/</a>.</p>
<p>If you wish to contribute actively to the community either as a sponsor, a speaker, or a volunteer for our events, please reach out to us to discuss at drew@entsales.com. </p>"
"Vacaville ""Not so prim and proper"" ladies, age 65+.","This is a group for women age 65+ who are tired of being alone, who are still energetic, and have lots to offer. A very open minded group of women who like to get together to chat, have coffee, brunch or dinner, share life experiences (we know a lot), have discussions about anything (informal), find fun things to do together. To get out of the house for a while"
San Mateo Business Referral Networking Meetup,"<p>The Business Referral Network (BRN) represents a broad-based coalition of businesses throughout the Mid Peninsula area. The BRN Mission is to enhance our businesses by building strong relationships through weekly communication and the exchange of leads, referrals, and contact information. Members of BRN assemble in a weekly forum comprised of a variety of business professionals representing various industries. Through exchange of information our collective efforts are focused on creating business opportunities. We accomplish this by advocating the business of our members. BRN provides a forum for cohesive and dynamic interaction among business professionals focused on networking opportunities that result in prospective customers for your business.</p>"
The Women's Business Builders Club of Fairfield,"The purpose of this meet-up group is to provide networking opportunities for local small businesses. There will be trainings and guest speakers relating to growing your businesses and growing your networks. To keep things fresh & lively we will have different format's each meeting. This group will meet 1st & 3rd Tues & will include lunch will be $17. (includes beverage, tax & tip) 
Members will also be able to introduce themselves and their business. Please feel free to invite other potential members to this group. 

Our goal is to provide an Outstanding professional environment that is conducive to help growing your businesses."
Awaken The Goddess Within And Transform Your Health,"<p>The purpose of this group is to have a circle of women who are passionate about getting stronger, healthier, and awakening the inner Goddess that is inside each and every one of us. </p> 
<p>The organizer of this Meetup is Jen Seregos. She has been in the health industry for over 10 years in the fitness and nutrition space. In 2011, she found out she had a genetic mutation that made her susceptible to cancer and had to have her breasts surgically removed to prevent cancer. Shortly after that, her husband left her and a within 2 years of that, her mom was diagnosed with terminal cancer and lost her battle in 2014. </p> 
<p>Jen had hit rock bottom and through this process of loss, grief, and failure, she realized that there was more to being ""healthy"" than just exercise and eating right. She began to incorporate what she needed in order to have a healthy mental, emotional, and spiritual state as well. &lt;br&gt;</p> 
<p>When she discovered the formula to have a complete, holistic, and integrated approach to health, she regained her confidence and her inner Goddess.</p> 
<p>Now, her passion is sharing this process with her fellow women!</p> 
<p>Join us as we reclaim our power together, get healthy, strong, and ready to take on the world. </p> 
<p>&lt;br&gt; &lt;br&gt;</p>"
EBabes TGIF Meetup,"<p>About EBabe's: EBabe's is the 1st Friday of each month that gives Lesbian women from all over the Bay Area a chance to be part of a community of women after a long week; See old friends, make new ones, (and more if you are looking!). It's a social event with a community consciousness. EBabes teams up with non-profit/not for profit as well as Lesbian owned business and lesbian artists ...to lend a platform so they can share what services they have to offer as well as ask for what they need. Your hosts: Lynn, Jennifer &amp; DB are at each event to welcome you and make sure that you have a good time! We look forward to seeing you! If you have questions contact Jennifer at 510.529.5147 or email: ebabestgif@gmail.com</p>"
Weight Loss Picnic,"<p>This meetup's purpose is to workout by walking in the woods or on the beach and then stop and have a break and snack on weight loss sustaining foods. Let's walk in the woods and talk about weight loss/exercise/health goals while we walk. We encourage each other in whatever our goals may be; weight loss, getting fit, healthier lifestyle etc...Come join us!</p>"
"Wine, Women, and Wealth - San Ramon",<p><span>We are building a community of women who want to have fun while learning to build and protect their wealth and share good wine.</span> <br></p>
Team Women Capitola Business Women Networking Meetup,<p>Team Women Capitola is a group of quality business minded women looking to support each other in building and growing successful businesses in our community.</p>
WOW! Women of Worth-Christian Women's Social Meetu,"This is a group for woman of all ages that are wanting to grow and learn from one another, make new friends, share ideas, tips, etc. with each other. We have a variety of activities as we have all ages of women and professions. We have dinners, movie nights, hiking, kayaking, special events and speakers, cooking classes, craft days, and so much more!"
Renaissance Women's Network,"This is a group for women entrepreneurs! Join our monthly meet-ups at the centrally located Capital One Cafe every second Wednesday of the month and mingle with women entrepreneurs of various backgrounds and stages. Whether you're someone starting a new business or already in business, this peer networking group is for you. We provide dinner, a featured speaker and facilitated peer support groups in which participants will share their current business struggles and help solve their problems by offering each others networks, experience and advice. A trained facilitator will keep track of your goals and follow up with you at the next meeting."
Women Supporting Women Meetup,"<p>https://goo.gl/forms/cb14hIenBnrL3uyB2</p>
<p>This group is created for ambitious, goal oriented women and also men who are big on supporting a woman's passion &amp; goals. We welcome women from all walks of life/industries/career levels. We started this group because we are big believers in the quote "" You can have everything you want in life if you just help enough people get what they want in life"". We will put on events that facilitate an environment in which we can learn from each other and trade tips/skills for success. One woman's success can only help another woman's success, let's build each other up - together!</p>
<p>Below are the different ways to connect with the WSW organizers and members. &nbsp;Please allow 24-48hours from submission for a response to your request. &nbsp;If there is a option not brainstormed yet below, please don't hesitate to reach out to us and let us know your thoughts.</p>
<p>Request to be part of a Panel for a WSW event</p>
<p><a href=""https://drive.google.com/open?id=1gFcfbhzlzoXCbsE2ioWTN3Tyk3iEjLsi9VzZsBfwRQQ"">https://goo.gl/forms/aMFwR1gZdr84bCQu1</a></p>
<p>Request to be a speaker for a WSW event</p>
<p><a href=""https://drive.google.com/open?id=1SbBT2F7PZg-8vYYdlLRqB8VdhK-lhSDlxKMbmD3dJsg"">https://goo.gl/forms/wkAhHoq434sYXBpI2</a></p>
<p>Request WSW Promote your event</p>
<p><a href=""https://drive.google.com/open?id=1JdECioOyiBYKC9RCPXUDIqCkDnfNXmSG114ANtj7dPg"">https://goo.gl/forms/y41tQTDTjBCekynz1</a></p>
<p>Request to Sponsor a WSW event</p>
<p><a href=""https://drive.google.com/open?id=1IM6L8bjtX2dcph64r5lbdhi1UXytfY2cUeroeRFh2to"">https://goo.gl/forms/WGFYpOGZ648YMr3s2</a></p>
<p>Request to Partner with WSW to create an event</p>
<p><a href=""https://drive.google.com/open?id=1EvMAxJv7JI4zEBBl5BGn412pZy96QvW-m62SCQ5DvrQ""></a>https://goo.gl/forms/cb14hIenBnrL3uyB2<br></p>
<p>Request to Promote your company at a WSW event</p>
<p><a href=""https://drive.google.com/open?id=19x1HY7V8wy0q-RDiH-CmS12kUxQU7bvmbmpYmljKbnY"">https://goo.gl/forms/Thoobl78FxvEaDU22</a></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>
<p> <br></p>"
Silicon Valley Women with Big Dreams,"Calling all women with Big Dreams! Let's get together to inspire and support each other to go for our Big Dreams while rocking it as moms and/or partners. Let's watch our dreams take flight as our collective wisdom propels us to different heights. Be open to receive one million dollar gems to succeed in all areas of our lives: careers/business, relations, spirituality, and health. Together we can have it all!"
Dream Priestess(TM) Circle - Bay Area Women,"<p><span>The Dream Priestess(TM) Circle is a women's gathering where you can explore everyday magic. You will awaken and deepen your spiritual gifts (e.g. intuition), step into your spiritual power as a leader, and play with new ways of accessing spiritual guidance.</span> <br></p>
<p>Whether you're experienced with your spiritual gifts, or just discovering you have them, join us for creative exploration and fun.&nbsp;</p>
<p>The gatherings are at my home and there's room for about 10 women.&nbsp;</p>
<p><b>About Amy Brucker</b></p>
<p>Amy is a Dream Priestess(TM) with an extensive background in shamanic healing and guidance, energy reading, dreamwork, creative expression, and business coaching. In her work, Amy uses her gifts as an intuitive empath to support strong, successful women who long to integrate their spiritual gifts into the full scope of their daily lives. She offers private mentoring programs as well as the Dream Priestess(TM) Initiation Program. She has a B.A. in art and an M.A. in spirituality, and was ordained as an interfaith minister.&nbsp;</p>
<p>The Dream Priestess(TM) engages her spiritual power to dream her life into being. She knows that the more connected she is to her intuition, imagination, dreams, and nature, the more easily she can create magic for the benefit of herself and others.&nbsp;</p>
<p><span><b>Personal Note:&nbsp;</b></span></p>
<p><span>In the 15 years I've been teaching and mentoring, I've met many women who are intuitives, empaths, psychics, mediums, etc., but who keep this part of themselves secret so they can succeed in their careers or retain respect from their family and friends.&nbsp;</span></p>
<p><span>These women often feel like they're leaving half of themselves locked in the closet, and consequently, they feel unfulfilled and alone despite their success. Yet more and more women are tired of hiding out. They're ready to confront their fears and be more open about who they are, and that's where I can help. When my clients work wit me, they begin to trust their gifts in bigger ways. They use their gifts to navigate their lives, relationships, health, businesses or careers. They feel more and more confident in who they are, and as a result, they begin to feel the deep soulful satisfaction that comes from living their true purpose.</span> <br></p>
<p><b>To learn more go to&nbsp;<a href=""http://www.amybrucker.com/"">www.amybrucker.com</a></b></p>
<p><a href=""http://www.amybrucker.com""></a></p>
<p> <br></p>
<p> <br></p>"
Conscious Women Entrepreneurs Network Meetup,"<p>Who should join are women in business, professional women, female leaders, women healers and practitioners, coaches, consultants, therapists, who have a holistic or spiritual foundation.</p> 
<p>Our Meetup will bring together women who are committed to make a difference in the world and enable them to come connect in a meaningful way to support each other in finding clients, team, and business resources. This is an accelerated networking process, so you will get a lot more accomplished in a shorter time, with more fun and deeper connections.</p>"
Women's Collective,"<p>""Women, with all our complexities and versions, we need each other...for the love all good things, no more ""I wish I were her"" manifestations, affirmations, incantations, chants...it's f-ing up your Chi and messing up your potential badass friend crew""</p>"
Stockton Self-Improvement Meetup,"<p>Vendors | Speakers | Members</p> 
<p>FREE SISTERS NETWORK MIXER<br>We Are #WSNRedHeartReady!!!</p> 
<p>Come Out and Gain Valuable Information About Having A Healty Heart!!<br>WEDNESDAY, JULY 20, 2016 From 6:30 PM - 9:00 PM</p> 
<p>We Are WSNRedHeartReady!!!</p> 
<p>Come Out and Gain Valuable Information About Having A Healty Heart!!</p> 
<p><br>Wealthy Sister Network is a nationwide organization based on women building generational wealth by being RICH in their mind, body, spirit and relationships.</p> 
<p>If you would like to be a SPONSOR or VENDOR for this event please contact Katrina Major via email kmajor3999@aol.com or 209-259-1150.</p> 
<p>APPLY FOR WSN STOCKTON CHAPTER MEMBERSHIP WSN has open positions for the following:<br>Membership Coordinator<br>Secretary</p> 
<p>Responsible for recruiting and welcoming new members and keeping older members engaged</p> 
<p>Informational vendors $0.00 | Vendor Special get $50.00 table for $25.00 from March to August 2016. Set up include table and chairs.<br>Other physical structures not included.</p> 
<p>Vendors lets Showcase and Support WSN and your Business by bringing<br>2 Guests to Share this Wonderful Opportunity!!!</p> 
<p>Interested parties regarding positions and Speakers for FUTURE events contact Katrina Major ASAP.<br>Any questions regarding the sisters mixer, please contact our lead planner Rachel Tipton via email inspiredbyu22@gmail.com or 925-217-9055.</p> 
<p>Spaces Limited!!! Register before it too late!!! Get your tickets Now!!<br>Business owners we have a GREAT opportunity for you to be listed in the directory that will be EMAILED and PUBLISHED on the WSN site. REGISTER ONLINE:<br>wsnredheartready.eventbrite.com</p> 
<p>Don't Miss Out!!!<br>Let's Talk About Having a Healthy Heart...</p>"
Unwind! East Bay Women Entrepreneurs,"<p>Come Unwind with us!</p>
<p>Unwind! East Bay Women Entrepreneurs is a space for women entrepreneurs and aspiring women entrepreneurs to network and support one another in a casual, fun, and welcoming atmosphere.&nbsp;</p>
<p>Unwind is a place to come for connection and friendship. We are SO excited and happy to spread the word about your business and to support you! This happens organically in Unwind, so please plan to enjoy yourself, drink delicious wine, loosen up a bit and have fun! <b>Please do not plan to give a sales pitch</b>.</p>
<p>We meet once a month, usually on a Thursday evening from 6:30-8:30 PM, at various ""wine-centric"" spots around the East Bay (usually Oakland).&nbsp;</p>
<p> <br></p>"
San Jose Woman's Club,"<p>San Jose Woman's Club, serving women and the community since 1894, has an active calendar of events, provides scholarships for local students, funds local and women's charitable organizations, and performs charitable work. We have ten Activity Sections: Antiques , Be a Dear and Donate a Brassiere, Besse Book Group, Bridge, Companion Animal Welfare, Ladies Who Do Lunch, Mahjong, Needle Arts, Walking for Fun and Health, and Women in Leadership and Technology. We also have special events and fundraisers throughout the year.&nbsp;</p>
<p>Come join us! Events and membership are open to all, not just women.&nbsp;Please note that joining the Meetup does not mean joining the San Jose Woman's Club. Membership only $60 per year, but it's not required to attend. If you are interested in joining San Jose Woman's Club as a member, visit our membership page for more details: &nbsp;<a href=""http://www.sjwomansclub.org/members.html"">www.sjwomansclub.org/members.html</a>.</p>"
Silicon Valley - Returning to Work,"<p>We are a Meetup group that aims to help job seekers, particularly those who have taken a career break, return to work.</p>
<br>
<p>Reentering the workforce can be a challenging process, but we can share the journey with you and ease the path. If you are a technology professional seeking to return to work after a career break, or a career changer, we are here to help you in your search process. Please join us at our Meetups to energize your career through networking. </p>"
Womens INner Strength : Lean In Group,"<p>Our mission is about empowering women to tap into their inner strength and derive the confidence to reach their highest potential. We strive to help female leaders, entrepreneurs, innovators and dreamers get that helping hand to make their visions real !!!</p>"
Give Glow - A community for women,"<p><b>Learn more at <a href=""http://www.giveglow.com"">Give Glow website</a></b></p>
<p>Give Glow is a community for women seeking to grow, lead and own their worth.&nbsp;</p>
<p>A community for women who wants to find our gifts, wisdom, and worthiness.&nbsp;</p>
<p>We come together to share our stories; share the gifts and beauty we see in one another.&nbsp;</p>
<p>We come together to feel more connected, to one another and to the world.</p>
<br>
<p>We glow with confidence and light, when we recognize our our gifts, our voice.</p>
<p>We step into our leadership, when we know our power, our worth.</p>
<p><span>When we own our worth, we show up as the person we are meant to be.</span> <br></p>
<p>When we own our worth, we give the world what it needs.&nbsp;</p>"
Beauty pros talking business,"<p>This meetup puts together beauty professionals and publications (hairstylists, photographers, bbloggers, magazines, muas, models, etc) who want to expand their connections and seek collaborations. Fun and creative events coming soon! ANYONE IS WELCOME TO JOIN US</p>"
East Bay Business Women's Connection,"<p>East Bay Business Women's Connection is a group designed to encourage business women to get to know each other on a deeper level and to create a strong foundation for networking, referral business, and professional development. This group is industry specific so please join us at our next meeting to secure your spot. Each meeting will have a speaker and a 10 minute member spotlight. Please bring your business cards and handouts to share. Lunch is not required but strongly recommended.&nbsp; The food is good and reasonably priced :-)</p>
<p>It's more than just networking, it's making connections!</p>"
Women's Mindfulness Group: Sister Sangha,<p>The Women's Group has ended. Thanks to all those that have participated over the years.</p>
Lesbian Businesswomen (LBW),<p>The purpose of this group is to promote and support lesbian owned businesses within the community. Lesbian Businesswomen would like to reach out to anyone looking to either support or be supported. We will be hosting recurring events where women can showcase their businesses and network among each other. These events will be an amazing foundation to create new connections and to reach out to lesbians in our community. We are excited and hope you will get involved with this amazing group of women!</p>
East Bay Women's: Mandala Coloring Circle  ...In A Cafe,"<p>This is a simple, easy, fun few hours to spend with other women who share a common desire to connect with our sisters and ourselves! And, we get to color(feel free to bring any creative project you can do on a table as long as it is not too distracting) If you have any coloring books with mandalas, flowers, dieties, Goddesses..bring them! I will copy several from my book and we can all chose a picture to color. Please bring something akin to colored pencils, your favorite way to color..I like crayons sometimes too. We will mostly be there in a unstructured way, to have fun, relax, and let the world float away for a few hours:-)</p>"
Women Rise Up Santa Cruz,"<p>Hello Gorgeous Women<b><br> Welcome to&nbsp;Women Rise Up!</b></p> 
<p>Where you can give and receive support in a variety of ways.&nbsp;<i><br> (This is a new group that is still evolving, be sure to attend so your voice and presence can be heard and felt) &nbsp;</i></p> 
<p>This is a place where you get to practice being authentic, true to yourself and present with yourself and your needs. A space where you get to exercise your receiving muscle and stand in your value. An opportunity where you can connect and network with big-hearted, passionate women who have big gifts, a large vision and a common intent to share an shine!&nbsp;</p> 
<p>AND, we as WOMEN, with big things to do in the world, THRIVE with support, boundaries, clear communication, awesome self-care, and an empowering practice that LOVINGLY supports the mind and body to be in alignment with our mission and vision without shaming, judging, and criticizing (which shuts us down and keeps us from forward motion). &nbsp;</p> 
<p>TOGETHER we are stronger!</p> 
<p>Most importantly, as a women, we have feelings and emotions...and often our businesses become a place where our greatest healing takes place.&nbsp;</p> 
<p>How do we stay positive and make progress in our business when we are busy processing, feeling and healing?</p> 
<p>How do we learn how to know what we want and ASK for it if we don't have a safe place to practice?&nbsp;</p> 
<p>Come be seen, heard and supported, and bring friends that you feel are in alignment to this group.</p> 
<p>In gratitude and service, Carla&nbsp;</p>"
"Ladies Who Launch - Silicon Valley/San Jose, CA Area Group","<p>Ladies Who Launch is a women's social and business networking group with an open format and never, never any paid dues being pushed (for services few even want!). First and foremost, we are about building authentic relationships. Only then can we support one another and help each other in business. Let's talk, trade, collaborate, connect, chit chat, commiserate, and have some cocktails while doing it!</p>
<p>Ladies Who Launch: <br>-Is Inclusive and open-minded to different ideas (If it fits in, post about an event, and suggest or plan an event on my meetup page!). <br>-Never requires a paid membership (or even offers one for that matter!) <br>-Is about women in business, referrals, personal development, networking, and fun. <br>-May have speakers from time to time, may just be social. And everything in between is fine by me! <br>-Allows other people to schedule events and post, so any existing groups currently running meetings related or unrelated to Savvy are certainly welcome to stay.</p>
<p>Join our Linkedin Group https://www.linkedin.com/groups/13583345</p>"
Davis Ladies Game Night,"<p>Attention Lady Game-Players! <br></p>
<p>We're getting together to play games. Join us to play: board games, card games, short games, long games, games of all varieties. This group is for local ladies of all ages to hang out, use our brains, make new friends, strategize, problem-solve, laugh, and enjoy board games in a casual setting.&nbsp; Please bring a new game to teach us or just bring yourself (there are usually plenty of games to choose from).&nbsp; We hope to meet you at our next game event!&nbsp; :) <br></p>"
Creative Women East Bay,"<p>This group is for Creative Women looking to find others like them. We have a wide variety of meetups including potlucks, co-crafting, outings, and more! Any form of creative expression is allowed so please don't be shy! We welcome everyone :) I hope you join us for our next meetup. See you soon!</p>
<p>If you find value in this Meetup and want to help support it, you can make a donation directly through Meetup. Do not feel obligated. This group makes me so happy and seeing your wonderful faces is great for me. However, once a group reaches a certain amount of members, Meetup does charge a fee. Even small donations help. :)&nbsp;<br></p>
<p>Have a wonderful day!</p>"
She Inspires Women's Network,"<p>Hello Ladies</p>
<p>My name is Cindy Lee..&nbsp;I am the host of new meetup called ""Exchange clothing and make friends""</p>
<p>We created the Meetup to bring ladies together and create the community that its member care, love and compassionate to each other by clothing exchange and gifting and inspire each other by doing good to the world.</p>
<p>We also want to raise the environmental&nbsp;issue and create the opportunity that we can help reduce the clothing waste and help our member to reuse what they have and save money. Sometimes We have entrepreneur guests who talk about their company and work to inspire our members.</p>
<p>We are located in San Francisco and we&nbsp;host an event once a month right now but eventually, we will host an event in South San Francisco with collaboration from other entrepreneurs.</p>
<p>If you are interested in being a member to&nbsp;our meetup this is the link...</p>
<p><a href=""https://www.meetup.com/San-Francisco-Exchange-clothing-and-make-friends-Meetup"">https://www.meetup.com/San-Francisco-Exchange-clothing-and-make-friends-Meetup</a></p>
<p>and check out our next event.</p>
<p>Kind regards,</p>
<p>Cindy</p>
<br>
<p> <br></p>"
"Fertile, Strong and Happy (FSH) Support - Campbell","<p>Women with a desire to increase their emotional resilience and happiness in this stress-filled environment, as well as women going through any kind of fertility challenge, are embraced in this group and allowed a safe place to meet and make buddies with other women in a similar place. <br>We will talk about what's going on in our lives, and look at mindfulness practice, massage, essential oils, fascia healing, acupuncture, chiropractic, sleep habits, healthy foods, creativity, and many other methods of increasing our F-S-H levels. <br>We will also occasionally have discussions on the latest assisted reproductive technologies (ART) available, to better understand choices available.</p>"
SheLeadsHer - Millennial Women Leadership Network,"<p><img src=""http://photos3.meetupstatic.com/photos/event/6/4/8/2/600_457885730.jpeg""></p>
<p><span>The State of Women in the United States are calling for the next generation of women leaders. Millennial Women, are you up for the challenge?!</span><br></p>
<p>LEAD-HER-SHIP: As all great leaders grow and develop, the first person they master is themselves. Leadership is understanding your foundation, understanding yourself, your desires and feeling confident on your path. SheLeadsHer is designed for millennial women to start or continue the process of self reflection, authenticity, and ambition as it relates to your career trajectory. While the state of women reflect less than 20% are in the C Suite and 46% of women are in entry level positions, SheLeadsHer is a network of millennial women who feel a strong desire to change these numbers, starting with herself. This group is private and exclusive for millennial women to network with one another, share best practices on reaching your full potential, finding friends to attend conferences with, voluteer work and many opportunuties to push the limits on developing courage to create change, within ourselves, as it relates to career and leadership. I look forward to meeting you!</p>
<p>Jaemi Serene <br>Women's Leadership Coach, Speaker &amp; Blogger <br><a>www.facebook.com\jaemiserene</a> <br><a href=""http://www.jaemiserene.com"">www.jaemiserene.com</a></p>"
Rock My Finances,"<p>3 Secrets of the language of love and money</p>
<p><br></p>"
Divorced Mom's Meetup,"<p>For women who share custody of their children with their XMister. Women who are juggling maintaining a career, raising children and being a co-parent. Place to share information and come together in support of each other. We will try to meet at least once monthly, on Friday evenings or weekends.&nbsp;</p>"
Young and Passionate in Palo Alto,"<p>Are you passionate about business, productivity, and networking? Come meet like-minded professionals in the heart of Silicon Valley. This group consists of fun, catered events geared towards young entrepreneurs. Join now to be notified of our first ""Mansion Meetup Event""!</p>"
Networking in the Heart of Silicon Valley,<p>There is no better place to network than right in the heart of Silicon Valley. Are you taking advantage of your location and meeting connections that can help your business grow? If not joining this Meetup will get you started!</p>
SheLeadsHer-Millennial Women Leadership Network-Palo Alto,"<p><img src=""http://photos2.meetupstatic.com/photos/event/5/2/4/e/600_458361070.jpeg""></p>
<p><br></p>
<p>The State of Women in the United States are calling for the next generation of women leaders. Millennial Women, are you up for the challenge?! LEAD-HER-SHIP: As all great leaders grow and develop, the first person they master is themselves. Leadership is understanding your foundation, understanding yourself, your desires and feeling confident on your path.&nbsp;</p>
<p>SheLeadsHer is designed for millennial women to start or continue the process of self reflection, authenticity, and ambition as it relates to your career trajectory. While the state of women reflect less than 20% are in the C Suite and 46% of women are in entry level positions, SheLeadsHer is a network of millennial women who feel a strong desire to change these numbers, starting with herself.&nbsp;</p>
<p>This group is private and exclusive for millennial women to network with one another, share best practices on reaching your full potential, finding friends to attend conferences with, voluteer work and many opportunuties to push the limits on developing courage to create change, within ourselves, as it relates to career and leadership. I look forward to meeting you!</p>
<p>Jaemi Serene <br>Women's Leadership Coach, Speaker &amp; Blogger <br><a href=""http://www.jaemiserene.com"">www.jaemiserene.com</a></p>"
Boss Ladies,"<p>We are inspired by incredible women. Women who are resilient. Women who don't take no for an answer. Women who stand proud and tall for what they believe in, even if they are standing alone. Women who are starting businesses. Women who are raising kids and starting businesses. Women who make this world go round. Women like you, or your mother, daughter, friend, sister.&nbsp;</p>"
