,meetup_0_description
170," The Purpose of this group, Is to Issue A Call to Action to those of you who value your Rights and Freedoms, A Call for us to work together to protect and defend the Constitution which has been under assault  and ignored by the United States Supreme Court since 2000 and by not just the U.S. Congress but the State Legislatures since 2007. Enough is Enough.
The goal of the group is to RESTORE both our Constitutional & Civil Rights that have  been taken away and to Protect and Defend the Rights we still have. The upcoming election is a battle for  the heart and soul of our country and it is not hyperbole to say that the future of this country is  truly a matter of life and death for the American people. & Honestly, too many men and  women have given their health and lives to keep us safe and secure. Too many Americans  have fought to protect and Uphold the Constitution, All the while defending our families, freedoms, & rights, as well as the many programs that have helped save millions of American lives.  These are programs that gave Americans a hand up in times of need, Programs that may of our current members of Congress benefitted from, but they Do Not want others to have the same chance, This MUST be Changed 
The Time has come for us to Speak the Truth, Even if your voice Shakes, Knees get weak, and You may be Shunned, The Truth has to be Spoken & Acknowledged, even though we may not like it. Too many Innocent people have  died and are being killed because of  the  rise of Racist, Bigoted, Hatred of not just the usual suspects but are being led by a National Political Party and a National Media company. And all this because we  voted for  a Bi-racial American Man, Instead of  a Warmonger & White man. It is clear by their Actions We have not come as far as we thought on Racism & Bigotry. We Finally have to Admit that the Hatred is still alive and well in our  country. So;
THIS IS YOUR CALL TO ACTION, It is Time To Restore the 4 Freedoms that this Country was  built on, In case You Do Not Know them they are as follows, as FDR expressed  them in his famous  speech:
(1) Freedom Of Speech
(2) Freedom Of & From Religion
(3) Freedom From Want
(4) Freedom From Fear
This is the United States Our Founding Fathers Established, A Nation that ""ALL ARE CREATED EQUAL"" IN BOTH THE EYES OF GOD & MAN! We Must NEVER Forget We Are All Americans, and Those who support & Promote Hatred Has NO Place in Our Country.
If You Feel the Same Way, I Sincerely Hope that You will Join Us as We Take Our Country Back, & Restore and Protect The Constitution, As we should have done all these years, Instead of Allowing the Extremist to dictate what we can and cannot do, what  they will acknowledge and  what  they ignore.
THIS IS YOUR CALL TO ACTION, The Question is How Will You Answer?
ALL ARE WELCOME, HOPE TO SEE YA'LL SOON"
186,"We discuss politics and political philosophy in a safe, civil environment."
188,
189,"This is a safe space for Women of all backgrounds to speak their minds, have tough discussions, commiserate, plan, act, and FIGHT
Awareness and unity are key when fighting injustice. The idea of this group is to create a space where women feel comfortable airing their grievances so that we can discover allies and feel not so alone in this fight
For now we are keeping this space for women only to make it as comfortable for our members as possible, please be respectful of this when inviting guests"
191,"The Northshore 9-12 group is made up of Glenn Beck fans and others who love our country and believe in it's greatness. We are a non-violent, non-racist, non-political group, and our mission is  fiscal responsibility, constitutionally limited government, and free markets. We contact our representatives here in Louisiana and around the country to make our voices heard.   If you're looking to connect and share information with others who feel the same way you do please sign onto our meetup site.---------------------------------
ALTERNATIVE NEWS SITES

 ---------------------------------





-----------------------------

 INFORMATIONAL SITES

 -----------------------------

"
200,A local unit of the National Association of Parliamentarians that meets monthly and holds workshops to educate its members and guests on parliamentary procedure according to Robert's Rules of Order.
213,"THIS IS THE  ""ABOUT US""  PAGE
This ""intro"" is becoming quite an essay, but maybe that's OK.
I am very much looking for a first-rate thinker for a friend ,,,, someone who really ""gets it"".
Now, For those interested in, but UNFAMILIAR with, Objectivism:
If you like philosophy and are looking for a better system of thinking, you have stumbled onto a special place!
Objectivism is a point of view developed by Russian immigrant, novelist and philosopher Ayn Rand, during the middle of the 1900's.  Since none of us can invent everything we know from scratch, we all need a high quality framework of ideas to think from.  Whether Objectivism is the final philosophy one should use or not, it is that high quality framework of ideas needed to think from.  All other points of view have been found to be inferior.  Objectivism also made the first big ""splash"" in the world as the viable alternative to left and right wing political theory.
The basics of Objectivism are really quite simple, but it takes a lot of great thinking to ""get it"",  UN-LEARN all the garbage that has gotten into your head, and see how the ideas fit together and apply to everyday issues.  If you are dedicated to the whole truth of all matters, then this is for you.  Some things you may have heard about Objectivism, or what positions a good Objectivist thinker would take, may be inaccurate. For example; Objectivism emphasizes ""production"", in contrast to ""consumption"". Proper Objectivists live GOOD lives, but they are not ""materialistic"", nor are they ""greedy"" capitalists.  Certain self described Objectivists are poor examples of its expression and do disservice to it.  Some well known figures seem to be profiteering  from it (see note at bottom of page).  Certain young followers sense something is special, but might lack the experience, maturity or aptitude to fully understand or practice it well.  Many people who are attracted to Objectivism are never able to fully ""get it"", or apply it well.  Most people who don't really understand the system eventually just drop out.
I recently read an article that points out the importance of being able to ""think things all the way through"".  I thought that was a nice way to put that.
Consider giving the Objectivist outlook a try and do your own thinking. Contact the group and discuss, question, or challenge.  When learning to understand life it is important to recognize those who do have a better grasp than oneself and LEARN something from them.
The Objectivist way of thinking is for good people who want to lead good lives.
SOME WORDS FOR THOSE FAMILIAR WITH OBJECTIVISM:
I have been disappointed in the ""mainstream"" Objectivist organizations.  My attitude toward the Objectivist movement is well embodied in the following thought:  “any good idea will attract all manner of people, with all manner of abilities"".  I see Objectivist organizations as either too reluctant to take positions, or else taking too many wrong positions.  It seems there aren't enough Objectivists who really ""get it"".
If my thinking thus far interests you, then read on.
I'm not about endless discussions of Epistemology.  Scholars are groping to find out exactly how the human brain mechanically does what it does, and that is ok.  But fortunately, complete knowledge of HOW the brain accomplishes reason is not at all necessary, and more than a few ""objectivists"" use these discussions as a diversionary and delay tactic.  All theories on just how the brain does what it does are just that, THEORIES!  I will say, however, that I think the ""filing cabinet"" analogy of the brain is very good and may explain a lot.  What IS necessary for right thinking is true intellectual independence, intellectual curiosity, and intellectual honesty.
Here is an example of how I think regarding the ""dispute"" between some Objectivists and modern science.  For the most part, sincere theoretical scientists are doing their best to understand the universe, and the fact that classical and modern physics are different things has no bearing on philosophical conclusions in ethics or politics.  No scientific theory on the behavior sub-atomic particles, the ""big bang"", or the behavior of things around black holes could ever have any effect on proper ethical or political conclusions.  Man inhabits the world at HIS scale, and there is certainty at HIS scale!!
While I'm at it I'll assert that Objectivists attempts to prove the non-existence of a God are as silly as attempts of theists to prove that there is one.  As philosophers we are under the mandate to not attempt to prove a negative.  You cannot prove that there is no god.  I'm aware of Peikoff's agrument in OPAR.  It is flawed with logical fallacies.  All one can formally say about the matter is that existence exists, and leave it at that.  Serious speculation on matters prior to, or outside of existence is the problem ---- and it is perfectly OK to speculate about it ---- non-seriously !!
Our purpose here is to provide contact (intellectual or otherwise) for independent idea loving people.  The small group is currently communicating by regular Email at rodney203@aol.com
Although the name ""Independent Objectivist"" is technically a redundancy, I regret that it is a necessary one for the forseeable future in the Objectivist community.
I am ""Objectivist based"". Ayn Rand is credited as being the most generally honest, thorough and correct modern philosopher; her works putting so many ideas together in one neat package to be considered- akin to the “Theory of Relativity” in physics.  The ideas set forth by Rand and others is the most logically consistent and ""proven"" philosophy of which I am aware.  No other system has gone to such great lengths to ""prove"" its ideas.  I'm not overly concerned with which ideas were Rand's original insights- she put it all together in one place, with the interpretations that she made, and that's important.   Otherwise, it is not my intent  to adulterate / corrupt what is considered to be Objectivism. We are solid friends of the Objectivist way of thinking; however, since philosophy is a human observation, all peoples’ inductions and deductions are at least subject to sincere inquiry and evaluation.  Ideas can be ignored, misused or misapplied by anyone.  We are looking for the truth of matters.  What is needed most are people who can achieve a decent deduction of existing Objectivist theory to all aspects of daily life.
Here are a few additional examples of positions I hold:  That Objectivism is a theory and set of principles, and NOT a set of conclusions.  If one is under the impression that some particular conclusion is the ""correct"" Objectivist position, do not assume that I automatically agree with it, (and I may very well agree with it); though MANY conclusions in the Objectivist movement are quite obvious.  I believe that existing Objectivist NONFICTION materials on close relationships, love and sex is actually lacking in the logical rigor found in some other of its other topics - reading more like instructions for writing romance novels than something from a logical philosophy (note: I have now read Atlas Shrugged and I have no major complaints on the romantic accounts there.  I have also been reading some books lately from the ""men's rights/men's awareness"" movement, and it seems to me that Objectivist leaders have some explaining to do regarding their superficial and somewhat mystic coverage of relationships and sex.  I suspect that the lack of proper treatment of this topic is due to the fact that it would be extremely unpopular with certain followers.  Still, a great disservice is being done it seems.)
PLEASE communicate with me directly at rodney203@aol.com
 Group owner 
Note:  Defining ""profiteering"" in this context would be an admittedly difficult and complex task.  I do not intend to use it here as a ""floating"" smear.  I merely appeal to those readers who, after considerable observation and thought, think they too see that such things do happen in the Objectivist community.  Profiteering, in this context, would have something to do with placing maintaining one's customer base above dedication to truth and reality, whether one realizes one is doing it, or not.  In other words, being the ""witch doctor"", that Objectivists so eagerly despise.  ""Witch Doctor"" means dealing in MIS-information!
THANKS
UA-17124609-2
"
220,"Political corruption, while helping to deteriorate the moral fabric of our society, also greatly diminishes the people's ability to be heard and represented fairly in government. Represent.us is a grass-roots campaign that is taking hold across the nation and making a real difference when it comes to eliminating corruption in our government. Please join us and help put an end to this disgusting practice once and for all!"
222,"Our purpose is to promote fellowship among members and to further activities that will benefit the Democratic Party.
Benton County Democrats (Benton County Dems, BC Dems) is an informational organization and PAC that is composed of members that tend to be registered Democrats, but this organization is not part of the Democratic Party of Arkansas (DPA) or The Democratic Party of Benton County (DPBC). If you are looking for the official arm of the DPA for Benton County, you want ""The Democratic Party of Benton County"", which has a FaceBook presence at 
You can find more information on our "
223,We are the Arkansas chapter of 
224,For Libertarian and like minded persons or those interested in learning about the party.
228,"Are you Interested in freedom, limited government, fiscal conservatism, free enterprise and National Defense, then join our local Austin meetup group! We are an official auxiliary of the Texas Republican Party. Everyone is welcome to attend our meeting and learn what we stand for. We have a focus on the local Asian community, but our membership is open to all. We bring in local leaders and candidates to talk about what they are doing in government. We welcome everyone!"
229,"We are a group of citizens banning together to combat Ignorance of the Laws that we are asked to abide by and the Negative Effects of Corporate Activity in the Sovereign States of the Union.
We do this by building Support Groups in each State in the Union to educate our citizens about the laws that effect them and ways to combat the negative effects of corporate activity.
Our members are called Teachers because when they invite their friends,relatives and associates to join our groups they are helping to teach the members."
231,Any person seriously interested in learning how most political issues can addressed and solved by the Constitution. The Six-Part series is entitled: The Constitution Is The Solution. 
232,"Our political system is at a crossroads. Our two parties are producing zero results for the American people, as they are more focused on running to the extremes to win elections than coming to center to solve problems. The political pendulum swings back and forth, but very little is getting done. It’s time to change the equation.
We’re surrounded by innovation every day. Companies and organizations that weren’t around ten years ago have revolutionized the way we travel, communicate, entertain, live, and learn. But in politics, we’re stuck with two choices that most of us don’t like. We think some innovation is long overdue to make our politics more representative of and responsive to all Americans.
Unite America aims to reshape and reform our political system – not as a traditional third party, but as America’s first ""Unparty"". We are a 21st Century political organization dedicated to organizing independent voters and supporting independent candidates who desire to put our country ahead of any political faction in order to solve problems."
240,"Hope Unitarian Church is a progressive, liberal community in south Tulsa. We are not held together by a creed or saying ""We believe."" Instead, we are bound together by the big questions of life. We support each other in the asking. We are bound together by common work on social justice issues. We are bound together by joy and fun. We are bound together by reason and experience. We are a welcoming community, open to all. We have religious education for all ages. Skeptics, atheists, humanists, agnostics, and theists will find a church home here."
242,"Do you believe our country is great but the politicians in Washington are clueless as to what the American people want ... join us as we strive to recapture the spirit of 9/12, when we weren't republicans or democrats, we were Americans. If you are concerned as to the direction this country is headed, please join us as we unite to maintain and uphold the values and principles set forth by our forefathers in our Constitution. United We Stand!"
243,"Strike a major blow for liberty by helping The John Birch Society slay NAFTA (North American Free Trade Agreement).
The battle in congress will soon address the ""renegotiation"" of NAFTA. The globalists plan on using the fake ""reform of this fake free trade agreement to get the US into more international control over our independence. 
"
244,"Code for Tulsa is a group of citizens who want to explore technology and how to make life better in Tulsa, Oklahoma. We’re organized as a Code for America Brigade, joining other groups around the country doing similar work. We’ve also done work under the Random Hack of Kindness banner. Many of our members are also members of Tulsa Web Devs, and we’ve been building civic apps since 2011.
Join our mailing list at:

Our Code of Conduct is based on the national Code for America network code of conduct:
"
245,"This is a group formed for two purposes:  one, of finding ways to live independently from the regime in Washington D.C. as part of the Free State Project; and two, spreading the Agora -- the unfettered free market described by Samuel E. Konkin III in ""A New Libertarian Manifesto"" -- throughout the Oklahoma region.

There is intended to be no discussion of politics here except that of legal forms of secession, and that of how to effectively evade and counteract coercive and/or thieving behavior -- including that of government -- without resorting to government to protect us, which we know in the long run is folly.  For discussions of mainstream political issues including political activism, there are many other excellent groups to join.  This group is strictly about learning how to live independently from government, how to facilitate its dissolution into ever-smaller and more manageable units, and how to practically prepare for and survive a political or economic collapse.  In short, it is about helping people find freedom in an unfree world, as Harry Browne put it.

Interesting topics will be historical secession and Agorist movements, law and property rights issues, how agorists and agorist organizations can deal with interference by existing States, individualist philosophy, and how to build wealth outside the confines of the modern systems of government that would otherwise consume most of it.

More information about the Free State Project can be found at 
More information about Agorism can be found at "
248,"This group was originally created to support the presidential candidacy of Ron Paul (Ron Paul for President 2008 & 2012) from a grassroots level. Although Ron Paul is no longer seeking elected office, his legacy lives on. We will continue to use all available means including, but not limited to, political activism to promote his timeless message of humanity's noble struggle toward our most natural state - Freedom.

""I have come to one firm conviction after these many years of trying to figure out the plain truth of things. The best chance for achieving peace and prosperity, for the maximum number of people worldwide, is to pursue the cause of LIBERTY.

If you find this to be a worthwhile message, spread it throughout the land."" from Ron Paul's Farewell to Congress Speech
 
What is the Philosophy of Liberty?

"
250,"This is a group of people who are introducing a progressive voice to the discourse of North Texas. 
Based in Allen, TX, the purpose of our club is to raise awareness of issues affecting the Democratic Party. We seek to promote, protect and support democratic values. We are also a PAC. The purpose of our PAC specifically is to raise money and endorse candidates whose political views align with ours in partisan and nonpartisan races."
252,"Carrollton Pride will provide educational outreach in Carrollton, host town hall meetings, work with other minority organizations to seek equal and appropriate representation, and hold nonpartisan voter registration drives. We are a social, nonpartisan group advocating for equality for gay, lesbian, bisexual and transgender community members in Carrollton, Tx


 We have monthly socials dinners. Check out or meetups to attend."
254,"Back by popular demand is our partnership with local favorite Zenzero Kitchen & Bakery. This community event brings Zenzero's Texas Best Burger, local craft beer and soda and the music of Born & Raised together for an unforgettable evening. Every ticket will provide a family in South Sudan with a life-saving water filter. You can show up at the door but Burgers are limited...so you may want to reserve your spot by buying a ticket....now!"
256,"Drink and socialize with like-minded left-leaning folks
This meetup is for the Drinking, Eating, and LIVING Liberally's in Collin County - MIX AND MATCH OR come to all of them!
Drinking Liberally - Allen
First Friday of each month. .
Drinking Liberally - Wylie
Second Friday of each month. Information here. 
Living Liberally - McKinney
Third Friday each month - "
258,"If you think you are the only liberal in Texas, you aren't! But we're hard to find. Let's get together and talk openly in a safe environment with gals who share your values. This group is for true LIBERALS and PROGRESSIVES only!! We aren't here to fight. We do enough of that on Facebook and out in the world. Here we find like-minded friends and have fun together!"
267,Sharing latest revelations on Qanon. And/or enjoying some beers with fellows who are generally open minded and want to celebrate the great awakening happening right now. Our forefathers of our republic enjoyed planning freedom and independence in the pubs and churches. I prefer pubs:)
269,"Far North Dallas Democrats (""FNDD"") is a club of activists focusing on Collin, Denton, and North Dallas counties. We meet on the third Thursday of each month in the Private Dining Room of Sonny Bryan's BBQ in Richardson.
Our meetings start promptly at 7:00 PM. Join us at 6:00 for socializing and dinner.
Also find us at:
email: FNDDClub@gmail.com  twitter: @FNDDClub  www.facebook.com/farnorthdallasdemocrats  WorldWideWickets: www.farnorthdallasdemocrats.org
  "
270,"This is a group for anyone interested in meeting like-minded people concerned about the future of Texas and Rockwall County. We discuss and debate politics, current events and the latest happenings in the Democratic Party. We plan to have guest speakers and special visitors from time to time. We meet for lunch at 12:00 at various restaurants around Rockwall County. Come see that there are still open minded, thoughtful people in the State of Texas."
271,"Calling liberal women who want a fun group to meet and share progressive ideas - a safe place where you can discuss your political views without starting a fight! We are women who lace our strong opinions with humor and a willingness to listen to each other. Everyone is welcome - all races, all faiths or no faith, straight and LBTQ. We are just starting to plan our first meet ups and are looking for ideas. Please contact Dru and Kelsi with your thoughts and suggestions."
272,"The Liberty Tree believes that we must be vigilant, visible and vocal.  Our group was created the first week after the 2016 election.  We have posted dozens of events since then.  We have FB pages and the founder of the group has blogged about some of the events on Daily Kos as NotReadyToMakeNice.
Phone calls, emails and letters are incredibly important, but we believe that getting out of the house and showing up in person at events is empowering to ourselves and inspiring to others.
If you join our meet-up, feel free to send us information about in-person events that you think our members would like to attend. We strive to compile and offer members opportunities for things they can participate in ""in real life.""
Events posted here can be offered/created by other groups and members of other groups can join our meetup. We are all working toward the same goal: resisting and defeating implementation of the destructive Trump agenda.
"
273,"This group is for anyone interested in the Democratic Party, progressive thought, social justice, social equality, liberty, and freedom. I started this group in reaction to President Trump's victory and my desire to become more politically active. I will no longer stay silent and sit idly by. If you feel the same way I hope that you will join."
275,"For anyone who would like to socialize with other conservatives. Activities will include: hiking, shooting range, political events, concerts, and much more."
276,"Let's make a difference. We should, now, be about getting Constitutional Candidates in office, who are also loyal to our Biblical Christian founding heritage. This action must be pursued from the local level up, wherever you live in the USA. This is essential. I hope that everyone feels this way as strongly as I do and will be willing to help."
285,"Meet up with other Dallas-area folks who share your desire for a much smaller government that is fiscally conservative but socially liberal. Learn more about the libertarian philosophy, volunteer to help with various events, or just enjoy your favorite beverage with fun like-minded individuals! We generally do three different types of meetups: 1) Social - Just fun and conversation. Example: Monthly Beer Lover's Caucus 2) Activism - Working to promote the cause. Example: Outreach booth at the Tea Party 3) LPDC Business - The business of running a political party. Example: Executive Committee meetings We will try to always make it clear which of these categories a specific meetup falls into, so you don't show up with your party hat on and walk into a dreary business meeting."
286,"Ever since its founding in 1958 by Robert Welch, The John Birch Society has been dedicated to restoring and preserving freedom under the United States Constitution.

The purpose of this group is to unite patriots in the greater Dallas area via local JBS chapter meetings and political activism.

This meetup group is maintained by independent grassroots supporters of the John Birch Society. Neither this website nor the articles, posts, videos or photos appearing on it are paid for, approved, endorsed or reviewed by the John Birch Society. The JBS does not endorse candidates, campaigns or political parties. For the official JBS website go to "
291,"Our society is interested in Ayn Rand’s philosophy of Objectivism—the philosophy of reason.
We are an active Objectivist Society, including social gatherings, discussions, and Objectivist speakers.
As detailed on our About page, our society welcomes the membership of anyone who admires Ayn Rand’s works (e.g., Atlas Shrugged) and is constructively interested in Objectivism. Non-Objectivists are welcome. A member is welcome to bring friends, family, and children as guests to appropriate events.
Please read our About page for more information, including about our interest, our purposes, what we may offer, why we do it, who we welcome, and our participation terms.
If you would like to participate, please take a few minutes to fill out your member profile, including uploading a friendly photo.
We look forward to meeting you!
--Old Toad, Lead Organizer
About NTOS: "
296,"Christian Party of America introduction and recruitment -- If you: (1) are a disciple of the Lord Jesus Christ; (2) a true Bible-believer; and (3) a patriotic Constitutionalist; you belong with us. The Christian Party of America is looking to establish state affiliates and county level organizations throughout the country.
To join the Christian Party of America you can use the Membership form in the ""Files"" section of this Meetup group.
Check out our new and developing website at www.christianpartyonline.us. For more information call us at 832-795-5058.
 "
299,"Mission: To advance the rebirth of openly accountable constitutional and republican institutions that rigorously protect our natural rights and liberties. We are committed to truth, justice, equality, security, and peaceful solidarity among all peoples of the Earth. We must be the change we wish to see in the world.
We view the events of 9/11 as a massive lever that members of the power elite used to launch an unwinnable ""global war on terror,"" and rapidly reduce or eliminate our constitutional rights and protections.  We are working in many ways with other groups toward a proper investigation of those events that will finally lead to justice for those who have paid so dearly.
We are also working to reverse some of the damage already done and prevent new crimes from happening. For example:
•  We want to stop the senseless wars and killing innocents for empire, power, and greed. 
•  We want to bring our troops home and close the 800 military bases we have all over the world in other people's countries.
•  We want to withdraw all the obscene trillions of dollars allocated for unconstitutional wars and spend it, instead, on making America whole and strong again. 
•  We want to bring an end to the rhetoric of hate, fear and anger toward one another -- the negative energy that spawns violent acts of rage by whatever weapons are handy.
•  We want to stop the government's intrusion into the decisions of individual lives, from child rearing, to the substances put in the water we drink, to the medicines and treatments we choose, to the education we provide our children.  
• We want to end the Federal Reserve and return to debt-free money controlled by the US Treasury. We want our economy back in the hands of Americans, not international bankers.
• We want to awaken millions more to the corruption and divisiveness NOW, while we still have the freedom to do so. 
• And we want to ultimately stop the corruption, prosecute the real criminals, and restore our America to its founding principles. 
We are not a talk therapy group, though we believe that taking meaningful action can be therapeutic for those of us whose souls have been damaged by the darkness around us. We are looking for and implementing real solutions that can have a significant impact. If you are eager to make a difference, and if you have ideas or skills you think can help, we need your energy and your creativity. 
The clock is ticking...
Email us at TX911Truth@gmail.com  
www. TX911Truth.US
 "
300,"The short story is that we're just a bunch of Democrats who meet for Happy Hour. 
But being a Democrat isn't the point. And I don't mean to suggest that you have to identify as a Democrat to be here. No, that's not it at all -- but that's probably the word most people are familiar with. We're not looking for labels and we have no agenda. We're just a bunch of forward thinking liberals (i.e., liberally thinking people) who appreciate each others' company. And the second Tuesday of every month is when we make an extra special effort to hang out with our favorite bartender. (Patricia is awesome.) 
Sometimes we talk politics and sometimes we don't. We're very welcoming, but if you classify yourself as a red, red Republican, then this group isn't for you. And if you're just curious, come on down! 
Another thing to note: even though we have no agenda, we *are* welcoming to candidates during election season. We won't endorse anyone, but we're happy to have candidates come out to kiss hands and shake babies. After all, isn't it important for us to be engaged? (Hint: YES.)  
 DISCLAIMER: Yes, we like booze. Goodness, we're meeting in a bar! But please be responsible with your  intake. Also, this group was formerly called Dallas Drinking Liberally, the Dallas Chapter of the national organization of "
301,"Looking for a fun group where you can discuss your liberal political views without fear of starting a fight? This is the place for you! We are women with strong opinions, a great sense of humor, and thirsting for some female interaction that reflects our progressive values. All faiths, agnostics and atheists welcome--as long as you are liberal!"
302,We are Jewish Democrats working together within our community to elect more Democrats at every level of government. We share Jewish and Democratic values of helping those that are less fortunate than ourselves.
304,"The mission of the Metrocrest Democrats is to advance the success of the Democratic Party throughout suburban Northwest Dallas County by promoting active civic participation, educating on values and issues, and supporting candidates for elective office.Contact info@metrocrestdemocrats.org for questions & comments."
305,"WE ARE much more than just A 9-12 GROUP FOR ALL TEXANS. If any unconstitutional act of government is illegitimate then the people have a duty to withdraw their consent to that act, as provided by the maxim of law providing that the lesser power is INCLUDED in the greater. This group will use DIRECT ACTIVISM and THE RIGHT OF THE PEOPLE TO PEACEFULLY ASSEMBLE to PETITION the State of Texas to REJECT AND RESCIND all UNCONSTITUTIONAL LAWS and ACTS passed in the Texas and United States Legislatures. This Right of We the People is well described in the FIRST AMENDMENT which states in part, ""...the right of the people peaceably to assemble, and to petition the government for a redress of grievances.""
A constitution is analogous to a limited power of attorney. For the purpose of the relationship, the people are sovereign; and the government their agent. The constitution both grants power and LIMITS power granted.
As members of the sovereignty, to remain consistent with the principles of the declaration of independence, the American people have a duty not to dignify a statute passed that is repugnant to the constitution. In truth, if the agent (government) has transgressed the principal's (We the People) delegation of power, the principal has a duty to call the agent on it to avoid giving the appearance of consent. The American people have a duty not to consent to an unconstitutional act masquerading as law.
We seek to gather all Texans to stand together against DESPOTIC ACTS AND LAWS BY THE GOVERNMENT IN A PEACEFUL MANNER.
This is NOT a ""secessionist"" group per se, besides Texas already seceded from Mexico in 1836 just as America seceded from England in 1776. However, we reserve the right to pursue any and all peaceful, non-violent measures, including political action, nullification, negotiating a new arrangement, or even (as a last resort) full independence for Texas if that's what it takes to restore our freedom. Even if it comes to that, we would be happy to restore the REAL Texas and the REAL America and maintain that relationship.
We acknowledge that America and Texas were founded upon the principles described at the Common Law Institute at  and we intend to peacefully restore legitimate governments that adhere to those principles instead of violating them."
308,"WELCOME, INTER-SECTIONAL FEMINISTS! 
The Dallas Task Force of the    
Like us on Facebook Follow us on Instragram at  to access our full calendar. 
REQUEST A SPEAKER/ VOTER REGISTRARS 
Dallas NOW provides speakers on feminist issues as well as Voter Registrars. Please contact us at nowbigd@gmail.com if you need speakers or registrars at an upcoming event! 
JOIN NOW 
Please join through "
309,"We call ourselves “North Texans for 9/11 Truth” and/or “North Texans for Truth”.  We began in 2006.
Our MISSION is simple:  We endeavor to make a better world by educating ourselves and others.
Our ACTIVITIES – We do what we can do on a local level with the resources at hand.  Over the years we have accomplished hundreds of actions.  (Examples: Giving our more than 69,000 DVDs, literally tons of literature, putting on events & films at theatres and colleges, bringing in famous guest speakers, advertising “the truth”, flying a banner over The Byron Nelson & DFW area, participating in protests and sign waves, being featured in local and international news articles, etc.)  
Our TOPICS – Our topics of discussion and involvement include 9/11, deceptions, frauds, manipulations, false flag events, natural health, fluoride, alternative energy, the environment, gardening, permaculture, healthy food, weather manipulation, philosophy, politics, spiritual growth, personal enlightenment, music, art, education, money & finance & business, etc.
9/11/2001 – We generally focus on the topic of 9/11, especially “Architects and Engineers for 9/11 Truth”  
EVOLUTION –  An evolution in awareness occurs as a person discovers the deceptions.  Often a person continues to research, gain knowledge and become more enlightened.  At a certain stage in maturity, an individual recognizes that it is important to “do something” .
JOIN US – Please join us.  Take the journey.  It doesn’t matter what stage you are at…whether you are “just curious”, a beginner, or you already have done lots of research, or you have evolved into the higher echelon of wanting to actively participate in bettering conditions and opening people’s minds.
WE DON’T SPY – We don’t spy on you.  We don’t monitor nor try to manipulate you.  If you are concerned about the government monitoring your actions when you join…Well, the government already has a record of your every web search, phone calls, your finances, your associates, and much of your personal life including intimate details.
This is a fun, friendly group full of intelligent, talented, like-minded people whose motivation is TRUTH and COMPASSION.
The Official 9/11 Story (5 minutes)  --         
"
317,"Principled, Consistent - The Libertarian way is a logically consistent approach to politics based on the moral principle of self-ownership. Each individual has the right to control his or her own body, action, speech, and property. Government's only role is to help individuals defend themselves from force and fraud.
Tolerant - The Libertarian Party is for all who don't want to push other people around and don't want to be pushed around themselves. Live and let live is the Libertarian way.
 
You don't have to live in Nacogdoches County or be a LP member to join this group. Free thinking individuals of all stripes are welcome. The purpose of this group is to advocate principles of self ownership and to seek a world of liberty; a world in which all individuals are sovereign over their own lives and no one is forced to sacrifice his or her values for the benefit of others."
320,"Meet Libertarians near you! Come to this local Libertarian Meetup to share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in Libertarianism is welcome! Our members range in age from 20 to 76, come from all walks of life, but have one thing in common - a love of FREEDOM and a dedication to preserving individual liberty! This Meetup group is not only for members of the Libertarian Party in Tarrant County - but for anyone interested in liberty and reducing the influence and reach of government. If you're for smaller tax bills, smaller government budgets, improved diplomacy and international trade, personal privacy and feel like the GOP and Democrats have let you down time and time again? Relax... there's a group just for you.... the Libertarians! Also, be sure to check out the Tarrant County Libertarian Party Website at: "
321,"The purpose of this meetup group is to discuss current political issues (local, state, national, international) from all political perspectives (Left, Right and anywhere in between).
Ideally, we would like to have a substantive, in-depth discussion and analysis of a political issue or topic during each meeting.  We would also like to have members representing as many diverse viewpoints and political perspectives as possible weigh in on each issue.
The emphasis for each issue discussion will be as follows:
1. Discussion of the issue itself (agreeing on the problem to be solved and the desired outcomes).
2. Presentation of various proposed solutions to the problem (preferably from a variety of political perspectives).
3. Comparing and contrasting the proposed solutions to the problem in terms of how well they satisfy the desired outcomes.
Again, we welcome ALL political perspectives (even those that are not so popular).  The most interesting meetings are those that compare and contrast many perspectives on the issues.  However, if you'd rather not voice your opinion on the issues, feel free to come and listen."
323,"We meet monthly to learn how we can support our local Democratic Party candidates and issues. Our guest speakers include elected officials, candidates, activists, and others who support progressive issues and candidates."
