,meetup_0_description
200,Our meetings are informal and friendly where anyone that has a question gets a turn. We try to have an elected official at each meeting to discuss local and state issues. We expect everyone to treat each other with respect. Unaffiliated voters are also welcome.
201,"COS Feminists strives to make Colorado Springs a more equitable community through intersectional feminism. We do this by engaging in candid conversations, listening deeply, speaking out, and calling in. We provide space to build relationships, ask questions, create opportunities, and promote social justice. We invite everyone from all backgrounds and perspectives to join us in growing in our understandings and experiences of feminisms. Together we will break down barriers and empower our community to thrive!"
206,"Flat Earth. Whether you have been researching for a while, or just intrigued by the topic, this group is for you! We are all in different places in our journey, but respect one another and welcome anyone who is questioning what they've been taught about the world around them. Please join us in some serious discussion for one of our Tuesday Talks, or hang out and have some fun on a Friday Night Fellowship evening!"
207,"With the election of Nov. 2016, it seems obvious to me that those of us who dream of a better future in which compassion, tolerance, and liberty form the basis of our society need to come together and take action. I imagine this club as a forum where grassroots progressives get together to discuss issues such hate crime, xenophobia, and poverty and how to stop them."
210,"Are you frustrated with the madness that has engulfed politics in America? Come meet the authors of Democracy in Disarray: Election 2016, and discuss how we can make a difference. Meet at Explore Booksellers, 221 E Main St, Aspen, CO 81611 at 5:30pm on 5/24"
211,"Questioning the status quo? Fema Camps, Agenda 21, NWO, Mandela Effect, Alien Agenda, Great Deception, Super Soldiers, False Flag Psyops, Biblical End Times, Morgellons Disease, Targeted Individuals, etc., ... Who can you talk to? Few there be that want to entertain such ideas. Let's find each other and a safe place to discuss concerns."
216,"Our political system is at a crossroads. Our two parties are producing zero results for the American people, as they are more focused on running to the extremes to win elections than coming to center to solve problems. The political pendulum swings back and forth, but very little is getting done. It’s time to change the equation.
We’re surrounded by innovation every day. Companies and organizations that weren’t around ten years ago have revolutionized the way we travel, communicate, entertain, live, and learn. But in politics, we’re stuck with two choices that most of us don’t like. We think some innovation is long overdue to make our politics more representative of and responsive to all Americans.
Unite America aims to reshape and reform our political system – not as a traditional third party, but as America’s first ""Unparty"". We are a 21st Century political organization dedicated to organizing independent voters and supporting independent candidates who desire to put our country ahead of any political faction in order to solve problems."
217,"This a meetup for those with liberal-leaning political views, especially those in Southwest Boise, Meridian, Kuna areas. If you consider yourself Independent, then you're welcome as well. It's a meetup for those who want to connect with other like minded people to discuss politics or just hang out and enjoy each other's company!
We are trying to focus our efforts in the southwestern part of Boise and Ada county where it can be a bit harder to find friends with your same political outlook.  But don't worry, every third house has at least one liberal living in it, even out in what we like to call the Boise flatlands."
219,"This Meet-up is for those who want to discuss and learn more about the truth of what really happened on 9/11/01 at the World Trade Center and the controlled demolition of the THREE WTC skyscrapers - and the implications of the events and ongoing cover-up. We are inspired by the Architects & Engineers for 9/11 Truth - AE911Truth.org and are most pleased to have occasional visits by its founder Richard Gage, AIA You can find us also at Sandpoint911Truth.org"
221,"TWAW Shooting Chapters is a shooting group designed to provide information and resources for female shooters. We meet monthly at Red Dot Firearms in Layton, Utah. Check out our events page for the dates and times of upcoming meetings. Our monthly meetings typically consist of a 1 hour informational meeting followed by 1 hour on the range.Guests are invited to attend one meeting before deciding if The Well Armed Woman is a good fit for them. If you decide you want to join you can join at www.twawshootingchapters.org. Membership is $50.00/year. Monthly shooting fees will vary depending on the range agreement each chapter has with their host range. Guests/members are required to attend the meeting portion of the monthly gathering in order to attend the range portion. Members also receive discounts at many retailers including The Well Armed Woman.All members must attend a safety evaluation or orientation prior to shooting with the group.For more information email twawutah@centurylink.net or find the schedule for all of our Utah groups at "
223,See whats going on in your local government and stay current on whats going on in your community.
244,"Are you interested on understanding those around you that don’t think the same way you do? Do you want to understand other people’s points of view? This group is for people who want to exchange ideas and views on topics ranging from politics, to religion, economics, medicine alternatives, etc. Everybody wanting to join this group must want to enrich themselves from a place of tolerance, respect and curiosity. If this sounds like you, welcome in :)"
245,"Do you want ... Smaller government? Fewer taxes? More freedom?
If your answer is ""YES"" then the Libertarian Party is your representative in American politics. We are the only political party that respects you as a unique and competent individual.
:: Preserve America's Heritage :: Live Free and Independent :: Respect and Care for Every Individual :: Government based on Consistent Principles :: The Party of Personal Tolerance"
246,Meet with local conservatives and proponents of the 912 principles and values.  
247,This is the meetup group for the Utah chapter of 
249,"Progressive nonfiction reading & discussion group based in Salt Lake City, UT. Readings focus on topics concerning social, economic, racial, environmental justice; activism and organizing; art; technology; Capitalism; the intersections between these topics; and more.
Reading Lists here: 
Contact: slcnonfic@gmail.com"
252,"If you are disturbed by the vitriol of the campaign and worried about surviving the next four years, you have stumbled on kindred spirits. If you are worried by the threat of losing things that are precious to you, this is the group to join. We are an open coalition of like-minded people. Some members are seasoned political activists, others have never ventured into the political action territory before. Our backgrounds and interests are diverse, but we are one in knowing that we are entering perilous times where we cannot sit back passively and watch what happens. 
Indivisible Ogden will be sponsoring local actions with a national focus. We will use the Indivisible Guidebook for advice on effective tactics and strategies. 
This is a call to action. Roll up your sleeves and prepare for a strong defensive posture. Many levels of support are needed. Commit the time and energy you can give. You will feel better for doing something, doing anything to preserve the things you value in society and America. United, we are INDIVISIBLE! 
From the authors of the Indivisible Guide:
Donald Trump is the biggest popular vote loser in history to ever call himself President-Elect. In spite of the fact that he has no mandate, he will attempt to use his congressional majority to reshape America in his own racist, authoritarian, and corrupt image. If progressives are going to stop this, we must stand indivisibly opposed to Trump and the members of Congress who would do his bidding. Together, we have the power to resist - and we have the power to win.
We know this because we’ve seen it before. The authors of this guide are former congressional staffers who witnessed the rise of the Tea Party. We saw these activists take on a popular president with a mandate for change and a supermajority in Congress. We saw them organize locally and convince their own members of Congress to reject President Obama’s agenda. Their ideas were wrong, cruel, and tinged with racism - and they won. We believe that protecting our values and neighbors will require mounting a similar resistance to the Trump agenda - but a resistance built on the values of inclusion, tolerance, and fairness. Trump is not popular. He does not have a mandate. He does not have large congressional majorities. If a small minority in the Tea Party can stop President Barack Obama, then we the majority can stop a petty tyrant named Trump. Who is this document by and for?
To this end, the following chapters offer a step-by-step guide for individuals, groups, and organizations looking to replicate the Tea Party’s success in getting Congress to listen to a small, vocal, dedicated group of constituents. The guide is intended to be equally useful for stiffening Democratic spines and weakening pro-Trump Republican resolve.
We believe that the next four years depend on citizens across the country standing indivisible against the Trump agenda. We believe that buying into false promises or accepting partial concessions will only further empower Trump to victimize our fellow citizens. We hope that this guide will provide those who share that belief useful tools to make Congress listen.
We: Are former progressive congressional staffers who saw the Tea Party beat back President Obama’s agenda.
We: See the enthusiasm to fight the Trump agenda and want to share insider info on how best to influence Congress to do that.
You: Want to do your part to beat back the Trump agenda and understand that will require more than calls & petitions.
You: Should use this guide, share it, amend it, make it your own, and get to work.
Download the Indivisible Guide here: "
256,"For those who don't have a home in the two old parties, consider an option that doesn't take your vote for granted. If you seek a world of Liberty, a world in which all individuals are sovereign over their own lives, and where no one is forced to sacrifice their own values for the benefit of others then this group is for you! The purpose of this group is to organize the meetings for the Utah County Libertarian Party, support Libertarian candidates, and to show that there is an option for those who are let down by the two-party system."
270,"Help us fight the Rubio/Obama Amnesty.
We are building a coalition that you should be a part of before Washington repeats the 1986 amnesty mistake that increased illegal immigration an astounding 11-40 million illegal aliens later!
""No one could make a greater mistake than he who did nothing because he could do only a little."" - --Edmund Burke"
275,"Liberty on the Rocks exists to promote the ideals of free market economics and individual freedom. Our group seeks to educate, connect, and activate liberty enthusiasts in the Phoenix metro area. Through local  events, citizens and activists throughout the region can increase the size of their networks, enhance their understanding of economics and individual freedom, widen their knowledge of local and national educational outlets, and increase their opportunities for involvement."
276,"
Join Cannabis Friends of Phoenix!

 
Hello All! Our goal here is to educated cannabis lovers on the uses and properties of cannabis.
We want to share our knowledge to help you understand the laws and magic behind this powerful plant
 
 "
277,"Meet other Liberal, ""left leaning,"" like-minded ladies. Let's get together for food, fun and events around the valley.  Ideas for new meetups are always encouraged!  You may notice events are not scheduled in many parts of the Valley. We are seeking Assistant Organizers to enable more women to participate with ease. If you are interested in becoming an Assistant Organizer, please email our Organizers Michelle, Barbara, or Leslie. Our group is strictly social in nature and is not intended for business networking purposes."
278,"Welcome to CameraFRAUD. We are united in our effort to get rid of every speed camera, red light camera, and photo radar van here in Arizona and across the country. We were successful in our campaign to remove the cameras from state freeeways and highways, and now we are going city to city, state to state.
Top News: Facebook:
 "
279,"If you are tired of the lack of principle on both sides of the political spectrum and would like to get politically involved starting at a local level with others near you - even if it's your first time getting involved, or if you would just like to socialize with other free thinking people that value their “life, liberty, and pursuit of happiness”, then please consider joining us at the Arizona Liberty R3VOLUTION Meetup!

This Meetup was born from the 2008 Ron Paul Presidential campaign and was not only the FIRST Ron Paul Meetup group, but we also created the famous R3VOLUTION logo that has been seen across the world.  We continue that R3VOLUTION bigger and as active as ever!
Some of the meetups we host include:
• political events, lectures, rallies, concerts, and presentations
• training for grassroots activists
• home-based efforts to contact legislators and sign petitions
• related events of interest to members such as conferences, conventions, festivals, and speakers
• along with MANY social meetups and parties
The Arizona Liberty R3VOLUTION Meetup remains steadfast in our efforts dedicated to advancing Ron Paul’s definition of liberty, and following his model of political strategy and engagement in defending the constitutional ideals of individual liberty, free-market principles and a non-interventionist foreign policy.
JOINING IS FREE - and you can even login to Meetup.com with your Facebook or Google account.  Also, consider getting the Meetup.com phone app to check on upcoming liberty events and make RSVPing easier!Android: We hope that you will join us in our continuing fight for LIBERTY so that we may all live FREE!
And remember, 
""It does not take a majority to prevail ... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men."" - Samuel Adams"
280,"Welcome to the Valley Freedom Intellectuals!  We've broadened our subject matter to include freedom minded intellectuals and intellectual positions generally, prominently including Austrian economists like Ludwig von Mises and Friedrich Hayek, but branching out a bit from there.  The change is intended to attract and appeal to a wider audience while staying firmly in the camp of ""friends of liberty"".  As an example, we might meet to discuss the thought of Lord Acton (of ""power corrupts"" fame), despite his not focusing primarily on economic thought.
First off, no, you do not have to be an academically-educated economist in order to join this group. Basically we're just a group for those who are sympathetic to the ""liberty position"", whether that means the Austrian perspective in regards to economics or similar opinions on political, social, and cultural issues.  We will frequently focus on a single thinker for a given session to explore their ideas and relate them to the broader liberty position and its intellectual history.  But we are first and foremost a social discussion group, interest in each  other and our own ""take"" on these figures, who simply serve as a catalyst for our discussions.
Our primary aim is to provide a non-formal setting, where like-minded people can come together for a fun social outing.  If you're looking for food, drinks and lively discussion with other liberty-minded folks, you've come to the right place!
If you are new to any or all of these thinkers or their positions, don't worry, still feel free to come. If you're interested in further information regarding Austrian Economics and the like, we can suggest the following sources:
Video

, a Peter Schiff lecture
 by Robert Murphy , a Jorg Guido Hulsmann lecture
, another Jorg Guido Hulsmann lecture  yet another Jorg Guido Hulsmann lecture (yes, he's that good!)
Audio
, Murray Rothbard
Short PDF books  
, Richard M. Ebeling
, Murray N. Rothbard
Books
?"
283,"The Arizona Legislative District 17 Democrats group is the place for grassroots Democratic Party activism in the city of Chandler, parts of Gilbert and all of Sun Lakes. We are part of the Arizona Democratic Party and the Maricopa County Democratic Party. We meet monthly on the 1st Tuesday at the IBEW Union Hall at 220 N. William Dillard Dr., Gilbert (North of Elliot Rd., between Arizona Ave. & McQueen Rd.) and also hold social get-togethers, days of action, and fundraisers. We are an integral part of the community."
284,"ABOUT US
Webster's dictionary defines train as – to teach and form by practice; to educate; to discipline.
 At Straight Shot - S.H.O.T. (Shooters Helping Others Train), our goal is quite simple; to safely train folks how to use different types of firearms while having fun. Safety is of the utmost importance within our group. When shooting with our group there will always be experienced shooters and NRA instructors at the meet-ups. We believe in letting folks try each other’s firearms, as long as the firearm is safe to shoot. If you wish not to share, that is fine. If you have questions, please feel free to ask. REMEMBER, the only dumb question is the one you don’t ask. Everyone is welcome to attend our meetups. Ladies, at C2 Tactical, you shoot for free on Mondays nights. If you rent a firearm from C2 Tactical you must buy their ammunition. Young folks are welcome but they MUST be accompanied by a guardian (21 or older). Ladies, Tuesday nights and Friday nights at Caswells are free. Like C2, you can rent firearms but must buy ammunition from Caswells. Please check our schedule to see when and where we are meeting.
After our range time, comes the most important part of the evening! We head to a local restaurant to eat and discuss the night affairs. You can learn who has the best price on firearms and firearm related products. You get time to socialize with like minded folks. However, LEAVE your politics at home! Our stance is, guns have two enemies RUST and POLITICIANS… enough said.
Last but not lease, we will be planning some desert shoots before it gets too hot. We will also be meeting on Thursday evenings at 4:00 PM to shoot in competition matches at Phoenix Rod and Guns. Please sign up; come by and give us a shot!  Best Regards,
Rick Murff  NRA Instructor
P.S. - Please sign up only if you plan on participating in our meets."
286,"This group is for Conservatives, Christians, Libertarians, and other like-minded individuals who have been censored, demonetized, banned, or suspended on social media sites due to their beliefs and political views. 
 
FREEDOM VINE is a new Social Media Platform based on the First Amendment. Our mission is to give people back free speech in media and social media. 
 
Why? Due to the recent spike in censorship on other social platforms, Conservatives, Christians, Libertarians and other Right Wing individuals have nowhere to go to discuss topics they are passionate about. This is why we knew something needed to be done and started developing Freedom Vine. 
 
FEATURES:
Freedom Vine is censorship-free and has the ability to create posts, share news articles, organize grassroots movements, create groups, message other users, comment, and share content just like other top social platforms. Users will also have access to our Trending News feed to receive breaking news without the liberal bias. 
 
LAUNCH:
Freedom Vine is currently in beta testing and is expected to launch early 2018. We are allowing a select group of people to sign up and use the platform before the launch to help us with testing and are opening that invite out to our Meetup Group Members!
 
GET INVOLVED: 
If you are looking for an alternative to Facebook, where you can discuss your policial views openly with other like-minded patriots, head on over to www.freedomvine.com to sign up! 
Freedom Vine is free and always will be. If you would like to help combat censorship to give people back freedom of speech, join this group to help organize events and meetups for conservatives to get together and spread the word of Freedom Vine.
If you support the Freedom Vine Movement please share with friends and family to help us grow!
Lets Make Media Fair Again together!
 
 
Want to learn more? Check out our commercial: 
 
"
287,"A meet-up group of Accessible Arizona - chapter of the United Spinal Association. An opportunity to socially get together at fun,  local establishments to share appetizers, cocktails and conversation. Meet and network with people in the community who share a common interest in having a more accessible Arizona."
291,"Calling all Republicans to join in the fun, for mixing & mingling with like-minded individuals in North Scottsdale, to sip a cocktail, discuss current events and make new friends!   We will meet monthly, and invite local political figures and contributors to partake in the festivities.  
Gain one-on-one insight from experts and peers, into what is really going on, and where we are heading as a Nation.  Bring your friends, and plan on making new acquaintances that see the world through the ""right"" eyes!  
Not only will we plan happy hours, excursions,and political event attendance, we will also participate in events to contribute to our great community, and honor our most valued Military.  Every idea is welcome, so please come and join us! "
292,"Americans United devotes 100% of its time and resources to church/state separation. Through public education and advocacy, Americans United works to preserve religious liberty and freedom of conscience as guaranteed by our Constitution. The Greater Phoenix Chapter’s primary mission is to provide a grassroots presence for the education and advocacy work of the national organization and to act as the ‘eyes and ears’ of Americans United in the defense of religious liberty in the local community."
293," 
Join other citizens who care about what's happening to democracy, equality, human rights, social justice, the education, environment, and other important topics. 
We meet monthly in Scottsdale, publish a weekly newsletter with current actions, events and legislative resources and have an active Facebook page. You can join without any experience in government or activism organizations.
Our long term goal is to help with voter registration and to support candidates who hold our progressive values at the local and national level. "
295,"The Wine Party (TWP) is a nonprofit organization whose aim is to present all sides of an issue. Why The Wine Party? Okay, it’s a play on the other “Parties” that people are familiar with. There’s the Tea Party for conservatives and the Coffee Party for liberals and they disseminate information to support their partisan views. How is one supposed to get a balanced view of an issue? 
The Wine Party seeks to solve that problem. TWP wants to present all sides of an issue and create dialogue between opposing parties. Since wine seems to create a convivial atmosphere conducive to discussion, I've chose The Wine Party as the name. Whether wine is served at a TWP event is not important as I know many people prefer beer, cocktails or don’t drink any alcohol. The name of TWP is just to show there’s an alternative to the ""beverage"" organizations.
TWP aims to inform the public on all sides of an issue, create a civil dialogue between opposing parties and to find pragmatic solutions to each issue so change can be realized. TWP accomplishes this by hosting “Point Counterpoint Events” (PCE for short). There are three main components to a PCE.  1. It educates attendees on all sides of the issue. Speakers representing each side will be on a panel.  Most people are getting their “news” from a source that presents one side of an issue….news outlets, talk radio, PACs, organizations, etc. While rallies and marches are great to reinforce the belief of the attendees, they do nothing to create a dialogue between people with opposing viewpoints and may actually hinder the process by reinforcing a “We They” mentality. Let’s bring people with opposing views together and talk about the issues in a mature and meaningful way.  The PCE will not be a town hall meeting. As we’ve recently seen, town hall meetings held by members of the legislature have gotten out of control. Attendees at a PCE are not given the opportunity to ask questions or share their opinion during the presentation. They can submit questions via text or notecards to the moderator who will select which questions to ask, if any.
2. Once the sides are presented, the panel will try to find a solution. The attendees will watch while experts on the issue try to come up with a pragmatic solution, a compromise to move forward. We want people to see opposing sides working together for a solution.  3. Attendees will wear color coded name tags to identify their position on the topic, e.g. Pro, Con, Undecided. After the presentation and solution effort, there will be an opportunity for moderated small group discussions so people can discuss what they’ve just heard…and maybe come up with solutions of their own. For those who don’t want to participate in the small groups, they will have a chance to mingle with their fellow attendees. Either way, it’s a good opportunity to interact with all types of people to broaden their horizons.  TWP’s policy will not tolerate derogatory comments, personal insults, interrupting a speaker, yelling or any other immature or unruly behavior by the attendees or the speakers. Anyone violating this policy will be removed immediately.  Each PCE will be videotaped and made available to people across the country via our website. We’ll enlist conservative and liberal media outlets, PACs, organizations, etc. to sponsor our movement and help spread the word as almost all will recognize the benefit of doing so vs. what we have happening currently. I’d like to have PCE conferences happen in cities all across the nation….go on tour if you will. TWP will offer weekend conferences where 5-8 PCEs will be held to include topics from, but not limited to, the following list:  1. Education 2. Immigration 3. Unemployment 4. Healthcare 5. The Economy 6. Race relations 7. Inequality 8. Federal budget / debt  Those are the topics a recent Gallup poll found were most on American’s minds but other national topics could be included like ageism, privatizing prisons, tax reform, the environment, etc. as well as city specific issues.    I’d like to start the movement here in the greater Phoenix area. Instead of a weekend conference, I’d like to do a standalone presentation on one issue with others to follow soon after and then go on the road in 2018.   We would love to have your help. One way is to help plan the PCE. Another is to "
299,"     Are you new to the area and looking for other Democrats? Have you lived here for a while and thought you were the only Democrat in the area? Were you shocked and disturbed by the outcome of the 2016 Presidential election? You've found your people!
     Located in Maricopa County, Arizona, . Our district is also part of Maricopa County Supervisorial  and the  newsletters. #LD18DemsPersist
"
300,"This group is for anyone interested in tactical shooting, self-defense, and survival skills training in a safe and fun environment.  We encourage everyone to host events that they are comfortable leading so that they can share their experience and knowledge with others.  
We hope that you take the opportunity to join us and we look forward to seeing you! "
301,"The Independent Party of Arizona has not been recognized by the State, yet. In 2018, the goal of this group and IndependenceArizona.com is to register the Independent Party of Arizona as a legal entity and recognized Party with the State of Arizona. We're sure to engage other things as well in process.
Citizen involvement is critical. If we don't stand for something, we generally fall for about anything. The two-party system has been ineffective in handling Arizonan's needs. Collaboration is key to solving any problem, let alone many. People - YOU - make the difference. 
Our Platform? 
Making Sense Common...what does that mean? When all the biased, personal and corporate profit-driven agendas fall away, what truly needs to be done emerges… and the truth shall become self-evident. This self-evident agenda is our mission to discover. There is no ego without wego.
We invite political activists who want to support and/or volunteer to help make this goal a reality. We will need coordinators state-wide for each county for the collection of signatures. A simple breakdown of the numbers necessary (by % of registered voters) is on the IndependenceArizona.com website.
We need volunteers to coordinate meetup groups in each county. This is a perfect opportunity for those who've thought about getting involved with political action, but not sure how. This is a grassroots effort that will grow into a substantial contributing organization in the future of Arizonans. 
Would you like to be a part of determining the future of Arizona? 
Individually, that is a challenge. Collectively, our numbers can be a powerful force in local and state actions, changes and sustainability for the future. This is your chance to be part of change. "
302,"Do you care about your future, and or the future of your kids and grandkids? Tyranny is stronger than ever before. As banking interests and globalists enact their final gambits there is only one person who can stop this. 
You!
Join us as we uncover the methods our founders used to repel the largest and most advanced Army in the world from their lands. Long before a shot was fired, the Colonists established methods of communication and administration to reclaim their sovereignty from the Crown.
Subsidiarity and self determination were the rules in their time and with God's fortune will be in ours. Semper Fidelis
 
 Activities will include:  Group discussions on Colonial Governance
History of Public Militias in America
Discussions of selected works by Dr. Edwin Vieira and other notable historians. 
 
"
306,"Man is meant to be free, creative, productive and prosperous.
We’re here to wake others up, think for ourselves and resist tyranny.
We discuss many solutions to defend our rights, our property and our liberty against authoritarian corporatocracy.
As government expands control over the unsuspecting populace, people are suffering unnecessary abuses.
We are like-minded people who see the urgency to work together to reclaim personal freedoms and re-establish personal accountability in government.
Corruption in government now represents little more than an ongoing criminal enterprise bent on bleeding out the substance of most people; the good, hardworking and productive in our society.
What are you doing to reduce government meddling in your life and being treated like a slave~?
The essence of freedom is self-governance which starts with personal responsibility.
Thinking “out of the box” will empower your options and solutions~!
“The night is far spent, the day is at hand: let us therefore cast off the works of darkness and let us put on the armour of light. - Romans 13:12
“The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that path is the path of surrender, or submission.” - John F. Kennedy"
307,"4 Women By Women ~ Firearm Training, LLC   
We Empower Women (Men) 18 yrs & older with little or no formal handgun training.  We give you  a personalized experience in firearm training.  We offer a unique setting catered just for to you.  Personal Instructon and Private classes.   We use a soft approach to help you get comfortable in your handgun training. 
We instruct you in the fundamentals and basic mechanics of Firearm Training, Safety & Education.   Our Two-day course is geared for the working Women (Men).  Saturday class is the same class as the two-day course.  But, all lumped in a one day course.
You'll learn all about the fundamentals and basic mechanics of the Firearm; parts of the handgun, Ammunition, Stance, Grip, and much more...   We move you from the basic mechanics to dry fire and into live fire (battery) at the range.  We offer all you need to know to be confident and proficient in your firearm training.  Classes are small so that we can offer the best support in your training.  We teach the NRA way of the Basic Firearm course.
We cater to your experience.  But, always best to bring a Friend to train with you.  Safety in pairs!
We now offer Co-ed & Family Classes.  Men are welcome to take any class that is not listed as ""Women Only"".   
*All-inclusive Lady's Two-Night Special- (includes all you need) -  So, all you will need to bring is your Beautiful Smile! (Women Only) 
Check the calendar for dates. (Monday & Friday evening)
$100.00 per person 
Whats included:   Class workbook, materials, tools, test, & Certificate  - 22 Rimfire Firearm, range fees, ammo & targets.
*All-inclusive Co-ed Two-Night Basic 101 Course:  
Check the calendar for dates. (Tuesday & Friday evening)
$100.00 per person   + $10.00 Range Fee 
Whats included:   Class workbook, materials, tools, test, & Certificate - 22 Rimfire Firearm, range fees, ammo & targets.   Rentals are available at the range @ $10.00 per firearm, plus cost of their ammo, if you wish to use another firearm.
*Co-ed  Basic 101 Course:    (with your own firearm) 
Check the Calendar for dates.
$75.00 (per person)  + $10.00  Range Fee
Bring your own Firearm and ammunition. Rentals are available at the range @ $10.00 per firearm, plus cost of their ammo.(Call First) 
Whats included:   Class workbook, materials, tools, test, & Certificate 
Other Classes we offer:
• Women Only and Co-ed Basic 101 classes $100.00
• Basic 101 & AZ CCW Course package $150.00
• Introduction to Handguns  (non-shooting class)  - 10 years and older. - $25.00 per person  Good Family Class!  You'll learn the first steps in Handgun Safety & Ownership, Safety & Educations of the parts of the handgun leading you to to Basic 101 Firearm course. 
• AZ CCW  (conceal & carry weapons permit class)  - 21 years and older - $50.00 per person   Learn the legalities of carrying concealed or open carry in AZ and the A.R.S. and where you can carry.  AZDPS Finger print card fee included.  AZDPS $60.00 registration for permit is separate. 
• Self (defense) Protection  (non-shooting class)  - 10 years & older -  $45.00 per person   Here you will learn how to use the Kubaton, Pepper Spray, Personal Alarms, Escape Holds and a few other safety tips. 
• Handgun Cleaning Class  (non-shooting class) - 10 years and older - $15.00 per person  Bring your firearm and book.  Learn how to take your handgun apart and clean.  All cleaning supplies - supplied. 
• Open Cactus Shoot Night at the range - Prerequisite: Any Basic 101 class - $5.00 per person  Open Battery & Turkey Shoot $5.00 per target.  This is not a training session.  Practice, Practice, Practice!   
• Realtor package (Basic 101, AZ CCW & Self (defense) Protection)    Regularly $200.00   Special $175.00  per person  Email me for your class information & discount. 
• Gift Certificates - purchase one or two today for a Loved one!    
So, be sure to check the calendar monthly for the classes you want to take. 
We offer workshops to hone in on your skills.   Plus, Personal Training and Advanced education to support your Firearm Training.  We'll work with you and support you in your training and education.    
Empowering Women (Men) in Firearm Safety & Education!
 
Suni Johnson 
Certified NRA Firearm Instructor, Range Safety Officer & AZ CCW Instructor
 "
314,"Gila Libertarian Meet-up is for any registered voter who questions the Right/Left-only paradigm and yearns for our Creator-endowed rights to be secured by our U S Constitution as intended. Gila County Oathkeepers, Constitutionalists, Tea Party, R3volution folks and others may find the Libertarian Party in keeping with their way of thinking. LBers may not agree on every little thing. But they surely don't hold to the either/or polarizing politics as they stand.
We are a recognized party and it's time to grow! It's time to safeguard our rights! Check out the State Libertarian Party web page for the full Libertarian platform. If you agree, or are open to discussion, join us and we will all spread the word throughout Gila county. Our first goal is to have regular meetings so that we can organize and become recognized as the Gila County Libertarian entity by the Arizona State Libertarian party.
Our second goal is to have representation in the state Libertarian party and help promote it's national influence - all the while growing Libertarian understanding by spreading literature, promoting information by web and having cogent discussions with those we know and meet."
318,Come raise your spirits as you raise a pint! Drinking Liberally is a network of progressive pint-pourers with locations in more than 175 cities and towns across America. You don't need to be a seasoned activist or policy wonk to enjoy good conversation with interesting people.
319,"Hello Trump Friends! A recent breast cancer conqueror Im reaching out for your support/spreading the word Shop at Amazon? Please go to AmazonSmile and select to support Nadia Strong and Amazon will donate a percentage of you purchase to this charity.Thank You and enjoy your shopping.
""FEEL GREAT DONATE""and honor those who lost the battle FREE photoshoot for women going through breast cancer treatments 501 C 3  
Open to all Trump supporters who want to Make America Great Again & Support Our President 100% We will meet monthly in Trump friendly restaurants to socialize and share our happiness of having Donald Trump as our President. 
 
 
Thank you all for joining this new group. We are looking for restaurants and or other venues that support Our President Trump so we can support them and hold our meetups at their place of business in different parts of town.If you know any restaurants that support our President Trump feel free to let us know and we will contact them.Thank you and keep on celebrating Our Huge Win ! One of the fun ideas we have is at every meetup all attendees can enter their names for a drawing.We plan on raffling off different gift certificates .If you are or know of a business owner that support Our President Trump we will be more than happy to promote them with a gift certificate.Thank you. Anyone with any other fun ideas is welcome to share them.Do you know of someone in need of any help? Please let us know. Together we will Make America and Tucson Great Again! Thank You.
 

Here is the link to Nadia's foundation site:  
 
A story in the Arizona daily star about my stolen Trump yard signs from River rd total signs stolen 55!!! 
 
"
322,"Prescott Progressives is a social group for Democrats, liberals, progressives, and independants with liberal-progressive politics to meet and socialize and talk politics with like-minded people.  If you're new to town, know that you are not alone.  There are others like you!"
323,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.
We use the Indivisible Guide as a blueprint for our grass roots activism.
Our website is: 
WHAT YOU CAN DO  
- Join this group now - Schedule one of our Meetup ideas in your neighborhood - Discuss your own Meetup ideas in the group conversation
OUR COMMUNITY GUIDELINES - Be Peaceful - Be Safe - Be Kind - Be Respectful - Be Real"
326,"Dear Prospective Members of the Southwest:
In case you are looking for ASK, Albuquerque Skeptics is now the new evolution of the ASK group, an amalgam of the old group into a new one!
Albuquerque is a thriving community of many different kinds of people, and many various religions. Then there are those of us without any religion who wish to have the same kind of community and social environment enjoyed by the religious. This is where Albuquerque Skeptics come in.
We are a community of secularists, atheists, agnostics, scientists and educators who want an informal group that is held together by the values we hold dear: reason, logic, learning, and fun discussions!
 
We will have casual meetings, discussions, pub nights, park barbecues, as well as speeches and events which members will be encouraged to attend, but never obligated.
 
To keep the meetup.com page up, we will need donations! If we do not receive donations, this site will go away, only to return when necessary funds return.
 
I welcome you to our page, and you are never obligated to contribute any money to us, or wear any badges or recite any oaths. Come as you are, speak your mind, and we will welcome you into the community!
I would also welcome anyone who is questioning religion, and has never had the chance to meet people without religion before... We're nice people! 
 
Come join us at one of our events, myself and my co-organizer Will would be happy to have you along!
   -Director of Albuquerque Skeptics, 
          Cory
 
 
 
WE ARE: 
* A positive, vibrant community of secular individuals in the Albuquerque area. *A group which believes in humanistic ethics and the equal treatment of people regardless of race, age, gender or sexual preference. * Individuals who believe in serving the public good. * A community which encourages critical thinking about religion. * People who enjoy sharing ideas, fun and activities with like-minded people. * People who validate the free-thought heritage of the United States through the separation of religion and government.
 
 "
